person_age,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,person_gender_female,person_gender_male,person_education_Associate,person_education_Bachelor,person_education_Doctorate,person_education_High School,person_education_Master,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,previous_loan_defaults_on_file_No,previous_loan_defaults_on_file_Yes,loan_status
22,71948.0,0,35000.0,16.02,0.49,3,561.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1
21,12282.0,0,1000.0,11.14,0.08,2,504.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
25,12438.0,3,5500.0,12.87,0.44,3,635.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1
23,79753.0,0,35000.0,15.23,0.44,2,675.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
24,66135.0,1,35000.0,14.27,0.53,4,586.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1
21,12951.0,0,2500.0,7.14,0.19,2,532.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1
26,93471.0,1,35000.0,12.42,0.37,3,701.0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
24,95550.0,5,35000.0,11.11,0.37,4,585.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1
24,100684.0,3,35000.0,8.9,0.35,2,544.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
21,12739.0,0,1600.0,14.74,0.13,3,640.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1
22,102985.0,0,35000.0,10.37,0.34,4,621.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1
21,13113.0,0,4500.0,8.63,0.34,2,651.0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
23,114860.0,3,35000.0,7.9,0.3,2,573.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
26,130713.0,0,35000.0,18.39,0.27,4,708.0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1
23,138998.0,0,35000.0,7.9,0.25,4,583.0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
23,360803.035,5,30000.0,10.65,0.05,3,670.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
23,144943.0,0,35000.0,7.9,0.24,4,663.0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
23,111369.0,0,35000.0,20.0,0.31,4,694.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1
23,136628.0,0,35000.0,18.25,0.26,4,709.0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
24,14283.0,1,1750.0,10.99,0.12,2,679.0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1
25,195718.0,0,35000.0,7.49,0.18,4,684.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
25,165792.0,4,34800.0,16.77,0.21,2,662.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
22,79255.0,0,34000.0,17.58,0.43,4,691.0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1
24,13866.0,0,1500.0,7.29,0.11,3,600.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
22,97420.0,1,33950.0,14.54,0.35,4,691.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
24,82443.0,0,33000.0,12.68,0.4,3,654.0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1
21,14288.0,0,4575.0,17.74,0.32,3,626.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
23,14293.0,0,1400.0,9.32,0.1,3,607.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
24,79054.0,1,32500.0,9.99,0.41,3,700.0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
21,14988.0,0,4000.0,12.84,0.27,2,553.0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
